emails_sent,links_count,attachments,capital_words,unknown_senders,spam
12,0,0,3,1,No
25,1,0,5,2,No
40,4,1,12,6,Yes
55,7,2,18,9,Yes
18,0,0,2,0,No
32,2,0,6,3,No
48,6,1,15,8,Yes
65,9,3,22,12,Yes
20,1,0,4,1,No
38,3,1,10,5,Yes
50,5,2,14,7,Yes
15,0,0,1,0,No
28,1,0,4,2,No
45,5,1,13,6,Yes
60,8,2,20,10,Yes
22,0,0,3,1,No
35,2,0,7,3,No
52,6,2,16,8,Yes
70,10,3,25,14,Yes
16,0,0,2,0,No
30,2,1,8,4,No
42,4,1,11,5,Yes
58,7,2,19,9,Yes
75,12,4,28,16,Yes
24,1,0,3,1,No
37,3,1,9,4,Yes
47,5,1,14,7,Yes
63,9,3,23,13,Yes
19,0,0,2,0,No
34,2,0,6,2,No
