game_hours,player_count_k,average_rating,updates_per_year,bug_reports,success
120,15,7.1,2,85,No
250,35,7.8,4,70,Yes
400,60,8.2,5,55,Yes
80,10,6.4,1,120,No
600,100,8.7,6,40,Yes
150,20,7.0,2,95,No
350,55,8.0,5,60,Yes
500,80,8.5,6,45,Yes
100,12,6.8,1,110,No
280,40,7.6,3,75,Yes
450,70,8.3,5,50,Yes
90,8,6.2,1,135,No
200,28,7.4,3,82,No
380,65,8.1,4,58,Yes
550,95,8.8,7,35,Yes
130,18,6.9,2,100,No
300,45,7.9,4,68,Yes
420,72,8.4,6,47,Yes
700,120,9.0,8,25,Yes
110,14,6.5,1,125,No
230,32,7.3,3,88,No
330,50,7.7,4,72,Yes
470,78,8.6,6,42,Yes
620,105,8.9,7,30,Yes
75,9,6.1,1,140,No
190,25,7.2,2,92,No
360,58,8.0,5,62,Yes
480,85,8.5,6,38,Yes
580,98,8.7,7,33,Yes
140,16,6.7,2,108,No
