age,bmi,exercise_hours,resting_heart_rate,sleep_hours,smoking_score,class
22,21.5,5.5,64,8.0,0,Low
28,23.1,4.0,68,7.5,0,Low
35,26.8,2.5,76,6.5,1,Medium
42,29.5,1.5,82,6.0,2,High
51,31.2,1.0,88,5.5,3,High
24,22.4,6.0,62,8.5,0,Low
31,25.2,3.5,72,7.0,1,Low
39,27.9,2.0,79,6.5,1,Medium
47,30.1,1.2,85,6.0,2,High
56,32.5,0.8,91,5.0,4,High
26,24.0,4.5,66,7.8,0,Low
34,26.2,3.0,73,7.0,0,Medium
44,28.7,2.0,80,6.2,2,Medium
49,30.5,1.0,87,5.8,3,High
61,33.1,0.5,94,5.0,4,High
29,22.8,5.0,65,8.0,0,Low
37,25.8,3.2,71,7.2,1,Low
41,27.5,2.5,77,6.8,1,Medium
53,29.8,1.5,84,5.7,2,High
58,31.5,1.0,89,5.3,3,High
23,20.9,6.5,61,8.5,0,Low
33,24.9,4.0,69,7.5,0,Low
46,28.1,2.0,81,6.3,1,Medium
52,30.8,1.3,86,5.8,2,High
64,34.0,0.5,96,4.8,4,High
27,23.5,5.0,64,8.0,0,Low
36,26.5,3.0,74,7.0,1,Medium
43,27.2,2.8,78,6.5,1,Medium
55,30.0,1.0,90,5.5,3,High
60,32.2,0.7,92,5.0,4,High
