area_sqft,bedrooms,bathrooms,garage_spaces,age_years,garden_area_sqft,house_type
650,1,1,0,25,300,Small
800,2,1,1,18,500,Small
950,2,2,1,12,650,Medium
1200,3,2,2,10,900,Medium
1450,3,2,2,7,1100,Medium
1700,4,3,2,5,1400,Large
2100,4,3,3,3,1800,Large
2500,5,4,3,2,2200,Large
580,1,1,0,30,250,Small
880,2,1,1,20,450,Small
1050,2,2,1,15,700,Medium
1300,3,2,2,11,950,Medium
1550,3,3,2,8,1200,Large
1900,4,3,3,6,1600,Large
2300,5,4,3,4,2000,Large
720,1,1,0,22,350,Small
900,2,1,1,16,550,Small
1100,3,2,1,13,750,Medium
1400,3,2,2,9,1000,Medium
1650,4,3,2,6,1300,Large
2000,4,3,3,4,1700,Large
2700,5,4,4,2,2500,Large
620,1,1,0,28,280,Small
840,2,1,1,19,480,Small
1150,3,2,2,14,800,Medium
1350,3,2,2,10,950,Medium
1800,4,3,2,7,1500,Large
2200,5,3,3,5,1900,Large
760,2,1,1,24,400,Small
1000,2,2,1,17,600,Medium
