income_k,credit_score,loan_amount_k,employment_years,debt_ratio,class
28,580,80,2,0.48,Rejected
35,620,70,3,0.42,Rejected
42,680,90,5,0.35,Approved
55,720,120,7,0.28,Approved
70,760,150,10,0.22,Approved
24,550,60,1,0.55,Rejected
48,690,100,6,0.32,Approved
32,600,85,2,0.46,Rejected
62,740,130,8,0.25,Approved
80,790,180,12,0.18,Approved
38,640,95,4,0.39,Rejected
51,710,110,6,0.30,Approved
29,590,75,2,0.50,Rejected
67,750,140,9,0.21,Approved
45,670,105,5,0.34,Approved
31,610,90,3,0.44,Rejected
58,730,125,7,0.27,Approved
76,780,160,11,0.20,Approved
26,570,65,1,0.53,Rejected
40,650,100,4,0.38,Rejected
53,700,115,6,0.31,Approved
64,745,135,8,0.24,Approved
34,615,80,2,0.45,Rejected
72,770,155,10,0.19,Approved
47,675,90,5,0.36,Approved
30,605,70,2,0.47,Rejected
59,725,120,7,0.26,Approved
83,800,190,14,0.16,Approved
37,630,85,3,0.41,Rejected
50,695,105,5,0.33,Approved
