income_k,credit_score,loan_amount_k,employment_years,debt_ratio,late_payments,defaulted
28,580,80,2,0.48,5,Yes
35,620,70,3,0.42,3,Yes
42,680,90,5,0.35,1,No
55,720,120,7,0.28,0,No
70,760,150,10,0.22,0,No
24,550,60,1,0.55,7,Yes
48,690,100,6,0.32,1,No
32,600,85,2,0.46,4,Yes
62,740,130,8,0.25,0,No
80,790,180,12,0.18,0,No
38,640,95,4,0.39,3,Yes
51,710,110,6,0.30,1,No
29,590,75,2,0.50,6,Yes
67,750,140,9,0.21,0,No
45,670,105,5,0.34,2,No
31,610,90,3,0.44,5,Yes
58,730,125,7,0.27,0,No
76,780,160,11,0.20,0,No
26,570,65,1,0.53,8,Yes
40,650,100,4,0.38,2,Yes
53,700,115,6,0.31,1,No
64,745,135,8,0.24,0,No
34,615,80,2,0.45,4,Yes
72,770,155,10,0.19,0,No
47,675,90,5,0.36,2,No
30,605,70,2,0.47,5,Yes
59,725,120,7,0.26,0,No
83,800,190,14,0.16,0,No
37,630,85,3,0.41,3,Yes
50,695,105,5,0.33,1,No
