budget_m,marketing_spend_m,rating,cast_size,runtime_min,opening_weekend_m,success
8,3,6.1,12,95,9,No
15,6,6.8,18,105,21,No
25,10,7.2,22,118,38,Yes
40,18,7.8,30,125,65,Yes
60,25,8.1,35,135,105,Yes
80,35,8.4,42,142,145,Yes
100,45,8.7,50,150,190,Yes
12,4,5.9,15,98,12,No
20,8,6.5,20,110,25,No
35,15,7.4,28,120,55,Yes
50,22,7.9,32,130,82,Yes
70,30,8.2,40,138,120,Yes
90,40,8.5,45,145,165,Yes
120,55,8.9,55,155,240,Yes
6,2,5.5,10,90,7,No
18,7,6.7,17,108,22,No
30,12,7.1,24,115,42,Yes
45,20,7.6,31,128,70,Yes
65,28,8.0,38,140,110,Yes
85,38,8.3,44,148,155,Yes
110,50,8.8,52,152,215,Yes
10,3,6.2,13,100,11,No
22,9,6.9,19,112,30,Yes
32,13,7.3,26,117,48,Yes
55,24,7.8,34,132,90,Yes
75,32,8.1,41,140,130,Yes
95,42,8.6,48,148,180,Yes
130,60,9.0,60,158,270,Yes
14,5,6.0,16,102,15,No
27,11,7.0,23,116,37,Yes
38,17,7.5,29,124,60,Yes
58,26,7.9,36,136,98,Yes
72,34,8.4,43,144,140,Yes
105,48,8.7,49,151,205,Yes
140,65,9.1,62,160,310,Yes
9,3,5.8,11,93,8,No
16,6,6.4,18,104,18,No
29,12,7.2,25,119,43,Yes
43,19,7.7,30,127,68,Yes
62,27,8.0,37,139,108,Yes
88,39,8.5,46,147,165,Yes
115,52,8.9,54,154,230,Yes
150,70,9.2,65,162,350,Yes
11,4,6.3,14,97,13,No
24,9,6.8,21,109,31,Yes
36,15,7.4,27,121,52,Yes
52,23,7.9,33,133,86,Yes
78,35,8.3,40,141,145,Yes
100,44,8.6,47,149,190,Yes
125,58,9.0,58,157,260,Yes
