study_hours,attendance_pct,assignments_completed,previous_grade,sleep_hours,class
1.5,62,4,48,6.0,Fail
2.0,68,5,52,6.5,Fail
2.5,71,6,58,7.0,Fail
3.0,74,7,61,6.5,Pass
3.5,78,7,65,7.0,Pass
4.0,82,8,69,7.5,Pass
4.5,85,9,73,7.0,Pass
5.0,88,9,77,8.0,Pass
1.0,55,3,45,5.5,Fail
2.2,66,5,50,6.0,Fail
3.2,76,7,63,7.0,Pass
4.2,81,8,68,7.5,Pass
5.5,90,10,82,8.0,Pass
6.0,92,10,86,8.5,Pass
1.8,64,4,49,6.0,Fail
2.8,70,6,57,6.5,Fail
3.8,79,8,67,7.0,Pass
4.8,86,9,75,7.5,Pass
5.8,94,10,88,8.0,Pass
2.1,61,5,53,5.5,Fail
3.1,73,7,62,6.5,Pass
4.1,80,8,70,7.0,Pass
6.5,96,10,91,8.5,Pass
1.3,58,3,43,6.0,Fail
2.6,69,5,55,6.5,Fail
3.6,77,7,64,7.0,Pass
4.6,84,9,72,7.5,Pass
5.2,89,9,80,8.0,Pass
2.4,65,5,51,6.0,Fail
3.4,75,7,66,7.0,Pass
