machine_speed_rpm,pressure_bar,temperature_c,humidity_pct,material_quality,production_rate,vibration_mm,operator_experience_years,defect_rate_pct,inspection_hours,quality_score
820,4.2,72,45,91,420,1.8,6,2.1,3,88
900,4.5,75,48,94,470,1.5,8,1.7,4,91
980,4.8,78,51,96,520,1.3,10,1.2,4,94
1050,5.1,81,54,97,570,1.1,12,0.9,5,96
1120,5.4,84,57,98,620,0.9,15,0.6,6,98
760,4.0,70,43,87,390,2.2,4,3.4,2,82
940,4.7,77,50,93,500,1.4,9,1.5,4,92
1010,5.0,80,53,95,550,1.2,11,1.0,5,95
1180,5.6,86,59,99,650,0.8,16,0.4,6,99
850,4.3,73,46,90,440,1.9,7,2.3,3,87
970,4.9,79,52,96,530,1.2,10,1.1,5,94
1080,5.3,83,56,98,600,0.9,13,0.7,6,97
730,3.8,69,41,85,370,2.5,3,4.1,2,79
890,4.6,76,49,92,480,1.6,8,1.8,4,90
1030,5.1,82,55,97,580,1.0,12,0.8,5,96
1150,5.5,85,58,99,640,0.7,15,0.5,6,98
800,4.1,71,44,88,410,2.0,5,2.8,3,84
925,4.8,78,50,94,510,1.3,9,1.4,4,92
1070,5.2,82,54,97,590,1.0,13,0.8,5,96
1200,5.7,87,60,99,670,0.6,17,0.3,7,99
