polygon_count_millions,texture_size_gb,active_lights,draw_calls,shadow_quality,ray_tracing,screen_resolution_scale,gpu_temperature_c,scene_objects,particle_count_millions,render_time_ms
2.4,3.1,18,820,2,0,100,68,420,0.8,11
5.8,6.4,31,1450,4,1,125,78,730,1.7,29
1.7,2.2,11,590,1,0,90,62,280,0.4,7
8.2,9.1,46,2180,5,1,150,84,1120,2.8,48
4.1,4.8,24,1050,3,0,110,71,560,1.1,17
6.7,7.5,38,1730,4,1,135,81,890,2.2,36
2.9,3.6,16,760,2,0,100,66,390,0.7,12
9.5,10.2,52,2510,5,1,175,88,1350,3.4,61
3.6,4.2,21,930,3,0,105,69,510,0.9,15
7.3,8.0,42,1940,4,1,140,83,1010,2.5,42
1.3,1.8,8,430,1,0,85,59,210,0.3,5
5.1,5.9,28,1280,3,1,120,75,670,1.4,24
8.7,9.7,49,2290,5,1,160,86,1240,3.1,54
2.1,2.8,13,650,2,0,95,63,310,0.5,9
6.2,6.9,35,1590,4,1,130,79,820,1.9,33
4.7,5.3,26,1130,3,0,115,72,590,1.2,19
10.1,11.0,56,2740,5,1,180,91,1480,3.8,68
3.2,3.9,19,810,2,0,100,65,450,0.6,13
7.9,8.7,44,2070,4,1,145,85,1080,2.7,46
4.4,5.0,23,1010,3,0,110,70,540,1.0,17
