server_count,cpu_usage_pct,ram_usage_pct,network_traffic_gbps,room_temperature_c,outdoor_temperature_c,humidity_pct,cooling_units,server_rack_count,workload_hours,cooling_energy_kwh
120,35,48,2.1,21,28,45,3,12,8,1840
180,42,55,3.2,22,30,48,4,18,9,2390
250,51,63,4.5,24,32,52,5,25,10,3180
320,64,71,5.8,26,35,56,6,32,11,4210
400,75,79,7.2,28,37,60,8,40,12,5480
95,28,41,1.6,20,26,43,2,10,7,1510
150,39,52,2.8,22,29,47,3,15,8,2120
220,48,60,4.0,23,31,50,4,22,9,2860
290,58,68,5.2,25,34,54,5,29,10,3710
350,69,75,6.4,27,36,58,7,35,11,4680
140,33,46,2.4,21,27,44,3,14,8,1950
200,45,57,3.6,23,30,49,4,20,9,2580
270,54,65,4.8,24,33,53,5,27,10,3370
310,62,70,5.5,26,35,57,6,31,11,4070
380,73,78,6.9,28,38,61,8,38,12,5210
110,30,43,1.8,20,25,42,2,11,7,1620
170,41,54,3.0,22,29,46,3,17,8,2250
240,50,62,4.3,24,32,51,5,24,9,3050
300,60,69,5.6,25,34,55,6,30,10,3890
370,71,77,6.7,27,37,59,7,37,12,4980
