flight_distance_km,passengers,cargo_kg,aircraft_age_years,cruise_altitude_ft,headwind_kmh,temperature_c,engine_hours,departure_delay_min,flight_duration_hr,fuel_used_liters
520,118,4200,4,35000,18,-42,620,5,1.2,4200
850,164,6800,7,36000,25,-45,1120,12,1.8,6900
1250,210,9200,11,37000,32,-48,1840,8,2.6,10400
1750,248,12400,6,38000,21,-51,980,18,3.4,13900
2300,285,15800,14,39000,38,-53,2460,25,4.3,18700
680,142,5100,3,35000,12,-40,490,4,1.5,5400
980,185,7400,9,36000,28,-44,1380,10,2.1,8200
1420,225,10100,12,37000,35,-47,2050,15,2.9,11700
1950,260,13700,8,38000,24,-50,1290,20,3.8,15800
2500,300,17200,16,39000,41,-54,2810,31,4.7,20500
760,155,5900,5,35000,16,-43,730,7,1.7,6200
1100,198,8100,10,36000,30,-46,1570,11,2.3,9100
1500,235,10800,13,37000,37,-49,2190,17,3.1,12500
2100,275,14900,7,38000,27,-52,1170,22,4.0,17100
2700,315,18100,18,40000,45,-55,3240,35,5.1,22900
600,130,4600,2,35000,10,-41,380,3,1.3,4800
900,172,7000,6,36000,22,-44,890,9,1.9,7300
1350,218,9700,11,37000,33,-48,1760,14,2.8,11100
1850,255,13200,9,38000,26,-50,1450,19,3.6,15100
2450,292,16500,15,39000,40,-53,2650,28,4.5,19600
