hours_played,missions_completed,level,rewards_earned,social_interactions,purchases_count,session_count,days_active,player_age,monthly_spending
42,85,31,6200,74,5,28,24,19,38
18,34,14,2100,31,2,13,12,16,12
67,132,48,9800,121,9,41,29,22,72
9,17,7,950,15,0,7,6,15,0
35,71,27,5100,62,4,24,20,21,29
52,103,39,7600,94,7,34,27,18,51
24,46,18,3200,43,2,17,15,25,16
81,157,56,12500,145,12,49,30,20,96
13,25,10,1400,21,1,9,8,17,7
47,92,34,6800,83,6,31,25,23,44
29,57,22,3900,51,3,20,18,19,21
73,141,51,10800,130,10,44,29,24,83
6,12,5,700,9,0,5,4,16,0
39,78,29,5700,69,4,26,22,27,32
58,114,42,8300,101,8,37,28,21,61
21,41,16,2700,36,1,15,13,18,9
88,169,61,14200,162,15,53,30,26,115
31,63,24,4400,57,3,22,19,20,23
64,126,46,9200,115,9,40,28,22,70
15,29,11,1600,24,1,10,9,17,6
