wind_speed_kmh,air_temperature_c,air_pressure_hpa,rotor_speed_rpm,blade_angle_deg,wind_direction_deg,turbine_age_years,humidity_pct,power_output_kw
18,22,1012,14,4,210,3,61,420
25,19,1008,19,2,195,5,58,760
12,27,1016,10,7,230,2,67,210
31,16,1005,23,1,180,7,52,980
21,24,1010,16,3,220,4,63,570
28,18,1007,21,2,205,6,55,850
15,29,1018,12,6,240,3,70,310
34,14,1003,25,0,175,8,49,1050
23,21,1011,17,3,215,5,60,640
10,31,1020,8,8,250,2,73,160
27,20,1009,20,2,190,4,57,810
19,26,1014,14,4,225,3,65,460
30,17,1006,22,1,185,7,53,930
14,28,1017,11,7,235,2,69,260
24,23,1010,18,3,200,5,59,690
32,15,1004,24,1,170,8,50,1010
17,25,1013,13,5,218,3,64,390
26,19,1008,19,2,198,6,56,780
11,30,1019,9,8,245,2,72,180
29,18,1007,21,1,188,7,54,900
